"","JHQV","JHQW","JHQX","JHQY","JHQZ","JHRA","JHRB","JHRC","JHRD","JHRE","JHRF","JHRG","JHRH","JHRI","JHRJ","JHRK","JHRL","JHRM","JHRN","JHRO","JHRP","JHRQ","JHRR","JHRS","JHRT","JHRU","JHRV","JHRW","JHRX","JHRY","JHRZ","JHSA","JHSB","JHSC","JHSD","JHSE","JHSF","JHSG","JHSH","JHSI","JHSJ","JHSK","JHSL","JHSM","JHSN","JHSO","JHSP","JHSQ","JHSR","JHSS","JHST","JHSU","JHSV","JHSW","JHSX","JHSY","JHSZ","JHTA","JHTB","JHTC","JHTD","JHTE","JHTF","JHTG","JHTH","JHTI","JHTJ","JHTK","JHTL","JHTM"
"mgrR",0.354041836680096,0.623354977979183,0.667261639267608,0.853563956930837,0.711921553358687,0.623354977979183,0.904458463823494,0.711921553358687,0.711921553358687,0.667261639267608,0.448313753608872,0.593232435040939,0.711921553358687,0.623354977979183,0.402373908081478,0.623354977979183,0.402373908081479,0.904458463823494,0.623354977979183,0.711921553358687,0.667261639267608,0.623354977979183,0.667261639267608,0.904458463823494,1.45584357658387,0.49797661719387,0.711921553358687,0.402373908081479,0.957841488692319,0.711921553358687,0.579882519363824,0.593232435040939,0.711921553358687,0.757645018478953,0.853563956930837,0.853563956930837,0.679084455892159,0.55097316501934,0.539395649032499,0.623354977979183,1.67521616705105,0.711921553358687,0.711921553358687,0.711921553358687,0.667261639267608,0.593232435040939,0.667261639267608,0.853563956930837,0.904458463823494,0.804747816162956,0.804747816162956,0.667261639267608,0.804747816162956,0.757645018478953,0.679084455892159,0.968329663731488,1.01418510567422,0.757645018478953,0.957841488692319,0.757645018478953,0.804747816162956,0.402373908081479,0.354041836680096,0.667261639267608,0.757645018478953,0.757645018478953,0.354041836680096,0.623354977979183,1.01418510567422,0.508757885900715
"pasA1",0.354041836680096,0.623354977979183,0.667261639267608,0.853563956930837,-1.36451631060415,0.623354977979183,0.904458463823494,-1.36451631060415,-1.36451631060415,-1.45584357658387,0.448313753608872,0.593232435040939,-1.36451631060415,0.623354977979183,0.402373908081478,0.623354977979183,0.402373908081479,-1.0740444257904,0.623354977979183,-1.36451631060415,0.667261639267608,0.623354977979183,-1.45584357658387,0.904458463823494,-0.667261639267608,-1.0864944375139,-1.36451631060415,0.402373908081479,-1.01418510567422,-1.36451631060415,0.579882519363824,0.593232435040939,-1.36451631060415,0.757645018478953,0.853563956930837,0.853563956930837,-1.14921984843288,0.55097316501934,0.539395649032499,0.623354977979183,-0.579882519363824,-1.36451631060415,-1.36451631060415,-1.36451631060415,0.667261639267608,0.593232435040939,0.667261639267608,-1.13808527590778,-1.0740444257904,-1.20712172424443,-1.20712172424443,-1.45584357658387,0.804747816162956,-1.28216849281054,-1.14921984843288,0.968329663731488,-0.957841488692319,-1.28216849281054,0.957841488692319,-1.28216849281054,-1.20712172424443,0.402373908081479,0.354041836680096,-1.45584357658387,-1.28216849281054,0.757645018478953,0.354041836680096,0.623354977979183,-0.957841488692319,0.508757885900715
"pasA2",-2.74382423427074,-1.55838744494796,0.667261639267608,-1.13808527590778,0.711921553358687,-1.55838744494796,-1.0740444257904,0.711921553358687,0.711921553358687,-1.45584357658387,-2.16684980910955,0.593232435040939,0.711921553358687,-1.55838744494796,-2.41424344848887,-1.55838744494796,-2.41424344848887,0.904458463823494,-1.55838744494796,0.711921553358687,-1.45584357658387,-1.55838744494796,0.667261639267608,-1.0740444257904,1.45584357658387,3.66691872660941,-1.36451631060415,-2.41424344848887,0.957841488692319,-1.36451631060415,0.579882519363824,0.593232435040939,0.711921553358687,-1.28216849281054,-1.13808527590778,-1.13808527590778,0.679084455892159,0.55097316501934,-1.17686323425273,-1.55838744494796,-0.579882519363824,0.711921553358687,0.711921553358687,0.711921553358687,-1.45584357658387,-1.29432531281659,-1.45584357658387,0.853563956930837,0.904458463823494,-1.20712172424443,0.804747816162956,0.667261639267608,-1.20712172424443,0.757645018478953,2.5073887602172,0.968329663731488,1.01418510567422,-1.28216849281054,-1.01418510567422,-1.28216849281054,0.804747816162956,-2.41424344848887,-2.74382423427074,0.667261639267608,0.757645018478953,-1.28216849281054,-2.74382423427074,0.623354977979183,-0.957841488692319,-1.46974500371318
"pasB",0.354041836680096,0.623354977979183,-1.45584357658387,-1.13808527590778,-1.36451631060415,0.623354977979183,-1.0740444257904,-1.36451631060415,-1.36451631060415,-1.45584357658387,0.448313753608872,-1.29432531281659,-1.36451631060415,-1.55838744494796,0.402373908081478,-1.55838744494796,0.402373908081479,0.904458463823494,-1.55838744494796,-1.36451631060415,0.667261639267608,-1.55838744494796,-1.45584357658387,-1.0740444257904,-0.667261639267608,0.49797661719387,-1.36451631060415,0.402373908081479,-1.01418510567422,-1.36451631060415,-1.67521616705105,-1.29432531281659,-1.36451631060415,-1.28216849281054,-1.13808527590778,-1.13808527590778,-1.14921984843288,-1.37743291254835,-1.17686323425273,-1.55838744494796,1.67521616705105,-1.36451631060415,-1.36451631060415,-1.36451631060415,0.667261639267608,-1.29432531281659,-1.45584357658387,0.853563956930837,0.904458463823494,0.804747816162956,-1.20712172424443,0.667261639267608,-1.20712172424443,0.757645018478953,-1.14921984843288,-0.815435506300201,-0.957841488692319,-1.28216849281054,-1.01418510567422,-1.28216849281054,-1.20712172424443,0.402373908081479,0.354041836680096,-1.45584357658387,-1.28216849281054,-1.28216849281054,0.354041836680096,-1.55838744494796,-0.957841488692319,-1.46974500371318
"pasC",0.354041836680096,-1.55838744494796,-1.45584357658387,-1.13808527590778,0.711921553358687,-1.55838744494796,0.904458463823494,0.711921553358687,0.711921553358687,0.667261639267608,0.448313753608872,-1.29432531281659,0.711921553358687,-1.55838744494796,0.402373908081478,-1.55838744494796,-2.41424344848887,-1.0740444257904,-1.55838744494796,0.711921553358687,-1.45584357658387,-1.55838744494796,0.667261639267608,-1.0740444257904,-0.667261639267608,-1.0864944375139,0.711921553358687,-2.41424344848887,0.957841488692319,0.711921553358687,-1.67521616705105,-1.29432531281659,0.711921553358687,0.757645018478953,0.853563956930837,-1.13808527590778,2.5073887602172,-1.37743291254835,2.25565453231772,0.623354977979183,-0.579882519363824,0.711921553358687,0.711921553358687,0.711921553358687,0.667261639267608,-1.29432531281659,-1.45584357658387,0.853563956930837,0.904458463823494,0.804747816162956,0.804747816162956,0.667261639267608,0.804747816162956,0.757645018478953,0.679084455892159,-0.815435506300201,-0.957841488692319,0.757645018478953,-1.01418510567422,0.757645018478953,-1.20712172424443,-2.41424344848887,0.354041836680096,0.667261639267608,0.757645018478953,0.757645018478953,0.354041836680096,-1.55838744494796,-0.957841488692319,-1.46974500371318
"pasD1",0.354041836680096,0.623354977979183,-1.45584357658387,0.853563956930837,0.711921553358687,0.623354977979183,-1.0740444257904,0.711921553358687,0.711921553358687,-1.45584357658387,0.448313753608872,2.48079018289847,0.711921553358687,0.623354977979183,0.402373908081478,0.623354977979183,0.402373908081479,0.904458463823494,0.623354977979183,0.711921553358687,-1.45584357658387,0.623354977979183,0.667261639267608,-1.0740444257904,-0.667261639267608,-1.0864944375139,-1.36451631060415,0.402373908081479,-1.01418510567422,-1.36451631060415,0.579882519363824,2.48079018289847,0.711921553358687,-1.28216849281054,-1.13808527590778,0.853563956930837,0.679084455892159,2.47937924258703,-1.17686323425273,0.623354977979183,-0.579882519363824,0.711921553358687,0.711921553358687,0.711921553358687,-1.45584357658387,-1.29432531281659,-1.45584357658387,-1.13808527590778,0.904458463823494,-1.20712172424443,0.804747816162956,-1.45584357658387,0.804747816162956,0.757645018478953,0.679084455892159,2.75209483376318,1.01418510567422,0.757645018478953,0.957841488692319,0.757645018478953,0.804747816162956,0.402373908081479,0.354041836680096,0.667261639267608,0.757645018478953,-1.28216849281054,0.354041836680096,0.623354977979183,1.01418510567422,-1.46974500371318
"pasD2",0.354041836680096,-1.55838744494796,0.667261639267608,0.853563956930837,-1.36451631060415,-1.55838744494796,0.904458463823494,-1.36451631060415,-1.36451631060415,0.667261639267608,0.448313753608872,-1.29432531281659,-1.36451631060415,0.623354977979183,0.402373908081478,-1.55838744494796,0.402373908081479,-1.0740444257904,-1.55838744494796,-1.36451631060415,0.667261639267608,0.623354977979183,-1.45584357658387,0.904458463823494,1.45584357658387,-1.0864944375139,0.711921553358687,0.402373908081479,-1.01418510567422,0.711921553358687,-1.67521616705105,-1.29432531281659,-1.36451631060415,0.757645018478953,0.853563956930837,0.853563956930837,-1.14921984843288,-1.37743291254835,2.25565453231772,0.623354977979183,-0.579882519363824,-1.36451631060415,-1.36451631060415,-1.36451631060415,0.667261639267608,2.48079018289847,0.667261639267608,0.853563956930837,-1.0740444257904,0.804747816162956,-1.20712172424443,0.667261639267608,0.804747816162956,-1.28216849281054,-1.14921984843288,-0.815435506300201,-0.957841488692319,-1.28216849281054,0.957841488692319,-1.28216849281054,-1.20712172424443,0.402373908081479,0.354041836680096,-1.45584357658387,-1.28216849281054,0.757645018478953,0.354041836680096,0.623354977979183,-0.957841488692319,2.48726077551461
"ampC",0.354041836680096,0.623354977979183,0.667261639267608,0.853563956930837,0.711921553358687,0.623354977979183,0.904458463823494,0.711921553358687,0.711921553358687,0.667261639267608,0.448313753608872,0.593232435040939,0.711921553358687,0.623354977979183,0.402373908081478,0.623354977979183,0.402373908081479,0.904458463823494,0.623354977979183,0.711921553358687,0.667261639267608,0.623354977979183,0.667261639267608,0.904458463823494,1.45584357658387,-1.0864944375139,0.711921553358687,0.402373908081479,0.957841488692319,0.711921553358687,0.579882519363824,0.593232435040939,0.711921553358687,0.757645018478953,0.853563956930837,0.853563956930837,0.679084455892159,0.55097316501934,0.539395649032499,-1.55838744494796,1.67521616705105,0.711921553358687,0.711921553358687,0.711921553358687,-1.45584357658387,0.593232435040939,0.667261639267608,0.853563956930837,0.904458463823494,0.804747816162956,0.804747816162956,-1.45584357658387,0.804747816162956,0.757645018478953,0.679084455892159,0.968329663731488,1.01418510567422,0.757645018478953,-1.01418510567422,0.757645018478953,0.804747816162956,0.402373908081479,0.354041836680096,0.667261639267608,0.757645018478953,0.757645018478953,0.354041836680096,0.623354977979183,1.01418510567422,0.508757885900715
"bfpA",0.354041836680096,0.623354977979183,-1.45584357658387,0.853563956930837,0.711921553358687,0.623354977979183,0.904458463823494,0.711921553358687,0.711921553358687,0.667261639267608,0.448313753608872,0.593232435040939,0.711921553358687,0.623354977979183,0.402373908081478,0.623354977979183,0.402373908081479,0.904458463823494,0.623354977979183,0.711921553358687,0.667261639267608,0.623354977979183,0.667261639267608,0.904458463823494,1.45584357658387,-1.0864944375139,0.711921553358687,0.402373908081479,-1.01418510567422,0.711921553358687,0.579882519363824,0.593232435040939,0.711921553358687,0.757645018478953,0.853563956930837,0.853563956930837,0.679084455892159,0.55097316501934,0.539395649032499,0.623354977979183,1.67521616705105,0.711921553358687,0.711921553358687,0.711921553358687,0.667261639267608,0.593232435040939,0.667261639267608,-1.13808527590778,-1.0740444257904,-1.20712172424443,0.804747816162956,0.667261639267608,0.804747816162956,0.757645018478953,0.679084455892159,0.968329663731488,-0.957841488692319,0.757645018478953,0.957841488692319,0.757645018478953,-1.20712172424443,0.402373908081479,0.354041836680096,0.667261639267608,0.757645018478953,0.757645018478953,0.354041836680096,-1.55838744494796,1.01418510567422,0.508757885900715
"bla_CTX.M",-2.74382423427074,-1.55838744494796,-1.45584357658387,-1.13808527590778,-1.36451631060415,-1.55838744494796,-1.0740444257904,-1.36451631060415,-1.36451631060415,-1.45584357658387,-2.16684980910955,-1.29432531281659,-1.36451631060415,-1.55838744494796,-2.41424344848887,-1.55838744494796,-2.41424344848887,-1.0740444257904,-1.55838744494796,-1.36451631060415,-1.45584357658387,-1.55838744494796,0.667261639267608,0.904458463823494,-0.667261639267608,-1.0864944375139,-1.36451631060415,-2.41424344848887,-1.01418510567422,-1.36451631060415,-1.67521616705105,-1.29432531281659,-1.36451631060415,-1.28216849281054,-1.13808527590778,-1.13808527590778,-1.14921984843288,-1.37743291254835,-1.17686323425273,-1.55838744494796,-0.579882519363824,-1.36451631060415,-1.36451631060415,-1.36451631060415,-1.45584357658387,-1.29432531281659,-1.45584357658387,-1.13808527590778,-1.0740444257904,-1.20712172424443,-1.20712172424443,-1.45584357658387,-1.20712172424443,-1.28216849281054,-1.14921984843288,-0.815435506300201,-0.957841488692319,-1.28216849281054,-1.01418510567422,-1.28216849281054,-1.20712172424443,-2.41424344848887,-2.74382423427074,-1.45584357658387,-1.28216849281054,-1.28216849281054,-2.74382423427074,-1.55838744494796,-0.957841488692319,0.508757885900715
